id	affixes	text	ja_norm_ud2.bpe_13230.txt	ja_norm_ud2.bpe_26460.txt	ja_norm_ud2.bpe_52920.txt	ja_ud2.bpe_13230.txt	ja_ud2.bpe_26460.txt	ja_ud2.bpe_52920.txt
1081	-ことになる,-における	この政策は1947年3月のアメリカ合衆国議会におけるトルーマン・ドクトリン演説で表明され、アメリカ合衆国は共産主義を「封じ込める」ために40億ドルを拠出することになると論じた。	▁この 政策 は 19 47 年 3 月の アメリカ合衆国 議会 における ト ルー マン ・ ド クト リン 演説 で 表明 するれる 、 アメリカ合衆国 は 共産 主義 を 「 封 じ込 める 」 ために 40 億ドル を 拠 出 すること になると 論 じるた 。	▁この 政策 は 1947 年 3 月の アメリカ合衆国 議会 における ト ルー マン ・ ド クト リン 演説で 表明 するれる 、 アメリカ合衆国 は 共産 主義を 「 封じ込 める 」 ために 40 億ドル を 拠 出 すること になると 論じるた 。	▁この 政策 は 1947 年 3 月の アメリカ合衆国 議会 における ト ルー マン ・ ド クトリン演説で 表明 するれる 、 アメリカ合衆国 は 共産 主義を 「 封じ込 める 」 ために 40 億ドル を 拠 出 することになると 論じるた 。	▁この 政策 は 19 47 年 3 月の アメリカ合衆国 議会 における ト ルー マン ・ ド クト リン 演説 で 表明 され 、 アメリカ合衆国 は 共産 主義 を 「 封じ 込 める 」 ために 40 億ドル を 拠 出 すること になると 論 じた 。	▁この 政策 は 1947 年 3 月の アメリカ合衆国 議会 における ト ルー マン ・ ド クト リン 演説で 表明 され 、 アメリカ合衆国 は 共産 主義を 「 封じ 込める 」 ために 40 億ドル を 拠 出 すること になると 論じた 。	▁この 政策 は 1947 年 3 月の アメリカ合衆国 議会 における ト ルー マン ・ ド クトリン演説で 表明 され 、 アメリカ合衆国 は 共産 主義を 「 封じ込める 」 ために 40 億ドル を 拠 出 すること になると 論じた 。
1082	-てる	また、各ポートにi・ナンバー、ダイヤルインの電話番号やサブアドレスを割り当てる機能がある。	▁また 、 各 ポート に i ・ ナンバー 、 ダイヤ ル インの 電話 番号 や サブ アド レ スを 割り 当 てる 機能がある 。	▁また 、 各 ポート に i ・ ナンバー 、 ダイヤ ル インの 電話 番号 や サブ アドレスを 割り 当 てる 機能がある 。	▁また 、 各 ポート に i ・ ナンバー 、 ダイヤ ル インの 電話 番号 や サブ アドレスを割り当 てる 機能がある 。	▁また 、 各 ポート に i ・ ナンバー 、 ダイヤ ル インの 電話 番号 や サブ アド レ スを 割り 当て る 機能 がある 。	▁また 、 各 ポート に i ・ ナンバー 、 ダイヤ ル インの 電話 番号 や サブ アドレスを 割り 当て る 機能がある 。	▁また 、 各 ポート に i ・ ナンバー 、 ダイヤ ル インの 電話 番号 や サブアドレスを 割り 当て る機能がある 。
1083	-ている,-ない,-など,-わりに	財源にめどが立たないためで、代わりに保育サービスなどの現物給付にする案が出ている。	▁ 財 源 に め ど が 立つ ない ため で 、 代わるに 保育 サービス などの 現 物 給 付 にする 案 が出 るている 。	▁ 財 源 に めど が立つ ないため で 、 代わるに 保育 サービス などの 現物 給付 にする 案 が出 るている 。	▁ 財 源にめどが立つ ないためで 、 代わるに 保育 サービス などの現物給付 にする 案 が出 るている 。	▁ 財 源 に め ど が 立 たない ため で 、 代わりに 保育 サービス などの 現 物 給 付 にする 案 が出 ている 。	▁ 財源 に めど が 立 たない ため で 、 代わりに 保育 サービス などの 現物 給付 にする 案 が出 ている 。	▁財源に めどが立たない ため で 、 代わりに 保育 サービス などの現物給付 にする 案 が出 ている 。
1084	-てい	美容師免許は所持していない。	▁ 美容 師 免許 は 所 持 するているない 。	▁美容 師 免許は 所持 するているない 。	▁美容師免許は 所持 するているない 。	▁ 美容 師 免許 は 所 持 していない 。	▁美容 師 免許は 所持 していない 。	▁美容師免許は 所持 していない 。
1085	-ている	現在はエクストリミスの力を手に入れている。	▁現在は エク スト リ ミ スの 力を 手に入 れるている 。	▁現在は エク ストリ ミスの 力を 手に入 れるている 。	▁現在は エクストリ ミスの力を手に入 れるている 。	▁現在は エク スト リ ミ スの 力を 手に入 れている 。	▁現在は エク ストリ ミスの 力を 手に入 れている 。	▁現在は エクストリ ミスの力を手に入 れている 。
1086	-から,-たばかり	彼は現在もレーシングカーメーカー・ダラーラを率いるジャンパウロ・ダラーラからその地位を継承したばかりで。	▁彼は 現在も レー シング カー メーカー ・ ダ ラー ラを 率いる ジャン パ ウロ ・ ダ ラー ラ からその 地位を 継承 するた ばかりで 。	▁彼は 現在も レーシングカー メーカー ・ ダラー ラを 率いる ジャン パウロ ・ ダラー ラ からその 地位を 継承 するた ばかりで 。	▁彼は 現在も レーシングカー メーカー ・ ダラーラを率いる ジャンパウロ ・ ダラーラからその 地位を 継承 するた ばかりで 。	▁彼は 現在も レー シング カー メーカー ・ ダ ラー ラ を率いる ジャン パ ウロ ・ ダ ラー ラ からその 地位を 継承 した ばかりで 。	▁彼は 現在も レーシングカー メーカー ・ ダラーラ を率いる ジャン パウロ ・ ダラーラ からその 地位を 継承 した ばかりで 。	▁彼は 現在も レーシングカー メーカー ・ ダラーラを率いる ジャンパウロ ・ ダラーラからその 地位を 継承 した ばかりで 。
1087	-こと,-ている,-です,-られる	接続するケーブルごとに色分けされているので、迷うことなくケーブルを取り付けられるので便利です。	▁ 接続 する ケー ブル ごとに 色 分け するれるているので 、 迷 う ことない ケー ブル を取り 付けるられる ので 便利だ 。	▁ 接続する ケーブル ごとに 色 分け するれるているので 、 迷う ことない ケーブル を取り 付けるられる ので 便利だ 。	▁ 接続するケーブル ごとに 色 分け するれるているので 、 迷う ことない ケーブルを取り 付けるられる ので 便利だ 。	▁ 接続 する ケー ブル ごとに 色 分け されているので 、 迷 う ことなく ケー ブル を取り 付けられる ので 便利です 。	▁ 接続する ケーブル ごとに 色 分け されているので 、 迷う ことなく ケーブル を取り 付けられる ので 便利です 。	▁ 接続する ケーブル ごとに 色 分け されているので 、 迷う ことなく ケーブルを取り 付けられる ので 便利です 。
1088	-であり,-のことで	漂流作家の武器であり、簡単にいえば個人の能力に著しく適合する道具のことである。	▁ 漂流 作 家の 武器 だ 、 簡単だ いう ば 個人の 能力 に 著しい 適 合する 道具 の ことだ 。	▁ 漂流 作家の 武器 だ 、 簡単だ いう ば 個人の 能力 に 著しい 適 合する 道具 の ことだ 。	▁ 漂流 作家の 武器 だ 、 簡単だ いう ば 個人の 能力に著しい適 合する 道具 の ことだ 。	▁ 漂流 作 家の 武器 であり 、 簡単 にい えば 個人の 能力 に 著しく 適 合 する 道具 のこと である 。	▁ 漂流 作家の 武器 であり 、 簡単 にい えば 個人の 能力 に 著しく 適 合 する 道具 のこと である 。	▁ 漂流 作家の 武器 であり 、 簡単 にい えば 個人の 能力 に 著しく 適 合 する 道具 のこと である 。
1089	-方が良い	女性は歩きやすい靴の方が良いと思う。	▁女性 は 歩く やすい 靴 の方が 良い と思う 。	▁女性は 歩く やすい 靴 の方が 良い と思う 。	▁女性は歩く やすい 靴 の方が 良い と思う 。	▁女性 は 歩き やすい 靴 の方が 良い と思う 。	▁女性は 歩き やすい 靴 の方が 良い と思う 。	▁女性は歩き やすい 靴の方が良い と思う 。
1090	-から	第1回放送からあるコント。	▁第 1 回 放送 から ある コント 。	▁第 1 回 放送 からある コント 。	▁第 1 回放送からある コント 。	▁第 1 回 放送 から ある コント 。	▁第 1 回 放送 からある コント 。	▁第 1 回放送からある コント 。
1091	-から,-である,-には	オリンピックには1956年から5大会連続して出場し、2つの銅メダルを獲得した選手である。	▁ オリンピック には 1956 年から 5 大会 連続 するて 出場 する 、2 つの 銅 メダルを獲得 するた 選手 だ 。	▁ オリンピック には 1956 年から 5 大会連続 するて 出場する 、2 つの 銅 メダルを獲得するた 選手だ 。	▁ オリンピック には 1956 年から 5 大会連続 するて出場する 、2 つの 銅 メダルを獲得するた 選手だ 。	▁ オリンピック には 1956 年から 5 大会 連続 して 出場 し 、2 つの 銅 メダルを獲得 した 選手 である 。	▁ オリンピック には 1956 年から 5 大会連続 して 出場し 、2 つの 銅 メダルを獲得した 選手である 。	▁ オリンピック には 1956 年から 5 大会連続 して 出場し 、2 つの 銅 メダルを獲得した 選手である 。
1092	-にもかかわらず,-んで	開場時間前にもかかわらず既に大勢の壮婦壮年信者が来場,ロビーに並んでいた。	▁開 場 時間 前 にもかかわるない 既に 大 勢の 壮 婦 壮 年 信者が 来場 , ロ ビー に 並ぶ ているた 。	▁開 場 時間前 にもかかわるない 既に 大 勢の 壮婦 壮年 信者が 来場 , ロビー に並ぶ ているた 。	▁開 場時間前 にもかかわるない 既に 大 勢の 壮婦 壮年 信者が 来場 , ロビーに並ぶ ているた 。	▁開 場 時間 前 にもかかわらず 既に 大 勢の 壮 婦 壮 年 信者が 来場 , ロ ビー に 並 んでいた 。	▁開 場 時間前 にもかかわらず 既に 大 勢の 壮婦 壮年 信者が 来場 , ロビー に並 んでいた 。	▁開 場時間前 にもかかわらず 既に 大 勢の 壮婦 壮年 信者が 来場 , ロビー に並んでいた 。
1093	-には	プリントゴッコの名称には社内で異論もあったが、羽山が「ごっこ遊びこそ知育の源泉」と説得して決定した。	▁ プリント ゴ ッコ の名称 には 社 内で 異 論 もあるた が 、 羽 山が 「 ご っこ 遊 び こそ 知 育 の 源 泉 」 と 説得 するて 決定するた 。	▁ プリント ゴ ッコ の名称 には 社 内で 異論 もあるたが 、 羽 山が 「 ご っこ 遊び こそ 知 育 の 源 泉 」 と 説得 するて 決定するた 。	▁ プリント ゴ ッコ の名称 には社内で異論 もあるたが 、 羽 山が 「 ご っこ遊び こそ 知 育 の 源 泉 」 と 説得 するて 決定するた 。	▁ プリ ント ゴ ッコ の名称 には 社 内で 異 論 もあった が 、 羽 山が 「 ご っこ 遊び こそ 知 育 の 源 泉 」 と 説得 して 決定した 。	▁プリ ント ゴ ッコ の名称 には 社 内で 異論 もあったが 、 羽 山が 「 ご っこ 遊び こそ 知 育 の 源 泉 」 と 説得 して 決定した 。	▁プリ ント ゴ ッコ の名称 には社内で異論 もあったが 、 羽 山が 「 ご っこ 遊び こそ 知 育 の 源 泉 」 と 説得 して 決定した 。
1095	-こと,-である,-以外	通常プレイヤーキャラは主人公キリヤであるが、ストーリーが進行するとある方法で主人公以外を操作することも可能。	▁通常 プレイヤー キャ ラは 主人公 キリ ヤ だが 、 ストーリー が進 行 すると ある 方法で 主人公 以外 を 操作 することも 可能 。	▁通常 プレイヤー キャラは 主人公 キリ ヤ だが 、 ストーリー が進行 すると ある 方法で 主人公 以外 を操作 することも 可能 。	▁通常 プレイヤー キャラは 主人公 キリ ヤ だが 、 ストーリーが進行 すると ある 方法で 主人公 以外 を操作 することも 可能 。	▁通常 プレイヤー キャ ラは 主人公 キリ ヤ であるが 、 ストーリー が進 行 すると ある 方法で 主人公 以外 を 操作 することも 可能 。	▁通常 プレイヤー キャラは 主人公 キリ ヤ であるが 、 ストーリー が進行 すると ある 方法で 主人公 以外 を操作 することも可能 。	▁通常 プレイヤー キャラは 主人公 キリ ヤ であるが 、 ストーリー が進行 すると ある 方法で 主人公 以外 を操作 することも可能 。
1096	-える,-しか,-ており,-なかっ,-には,-余り	会場には80人余りの壮婦信者が参列しており,男性壮年信者と青年信者は数えるくらいしかいなかった。	▁会 場 には 80 人 余 りの 壮 婦 信者が 参 列 するておる , 男性 壮 年 信者 と 青年 信者は 数 える くらい しか いるないた 。	▁会場 には 80 人 余 りの 壮婦 信者が 参列 するておる , 男性 壮年 信者 と 青年 信者は 数える くらい しか いるないた 。	▁会場には 80 人 余 りの 壮婦 信者が 参列 するておる , 男性 壮年 信者 と 青年 信者は数える くらい しか いるないた 。	▁会 場 には 80 人 余 りの 壮 婦 信者が 参列 しており , 男性 壮 年 信者 と 青年 信者は 数 える くらい しか い なかった 。	▁会場 には 80 人 余 りの 壮婦 信者が 参列 しており , 男性 壮年 信者 と 青年 信者は 数 える くらい しか いなかった 。	▁会場には 80 人 余 りの 壮婦 信者が 参列 しており , 男性 壮年 信者 と 青年 信者は 数 える くらい しかいなかった 。
1097	-でも,-なかっ	それでも、中村俊は一切恨み言を言わなかった。	▁それでも 、 中村 俊 は一切 恨 み 言 を言う ないた 。	▁それでも 、 中村 俊 は一切 恨 み 言 を言う ないた 。	▁それでも 、 中村 俊 は一切 恨 み 言 を言う ないた 。	▁それでも 、 中村 俊 は一切 恨 み 言を 言 わ なかった 。	▁それでも 、 中村 俊 は一切 恨 み 言を 言 わなかった 。	▁それでも 、 中村 俊 は一切 恨 み 言を 言わなかった 。
1098	-から,-つつあっ,-には	ホームズが1982年11月にポルノに復帰した時には、時代は既にフィルムからビデオへ移行しつつあった。	▁ホーム ズが 19 82 年 11 月に ポル ノ に復帰するた 時には 、 時代は 既に フィル ム から ビデオ へ 移行 する つつ あるた 。	▁ホーム ズが 1982 年 11 月に ポル ノ に復帰するた 時には 、 時代は 既に フィルム から ビデオ へ 移行 するつつあるた 。	▁ホーム ズが 1982 年 11 月に ポル ノ に復帰するた 時には 、 時代は 既に フィルムから ビデオ へ 移行 するつつあるた 。	▁ホーム ズが 19 82 年 11 月に ポル ノ に復帰した 時には 、 時代は 既に フィル ム から ビデオ へ 移行 しつつ あった 。	▁ホーム ズが 1982 年 11 月に ポル ノ に復帰した 時には 、 時代は 既に フィルム から ビデオ へ 移行 しつつあった 。	▁ホーム ズが 1982 年 11 月に ポル ノ に復帰した 時には 、 時代は 既に フィルムから ビデオ へ 移行 しつつあった 。
1099	-けれど,-って,-てい,-てください,-ないと	子供のころ、旨い魚を食べていたけれど、最近、魚を食っても旨くないと思っている方は、ぜひ、子供のころ食ったあの旨い魚を思い出してください。	▁ 子供の ころ 、 旨い 魚 を食べ るているた けれど 、 最近 、 魚 を 食 う ても 旨 いない と思うている 方は 、 ぜひ 、 子供の ころ 食 うた あの 旨い 魚 を 思い 出すて くださる 。	▁子供の ころ 、 旨い 魚 を食べ るているた けれど 、 最近 、 魚を 食 う ても 旨 いない と思うている 方は 、 ぜひ 、 子供の ころ 食 うた あの 旨い 魚を 思い 出すて くださる 。	▁子供の ころ 、 旨い 魚 を食べ るているた けれど 、 最近 、 魚を 食 う ても 旨 いない と思うている 方は 、 ぜひ 、 子供の ころ 食 うた あの 旨い 魚を 思い 出すて くださる 。	▁ 子供の ころ 、 旨 い 魚 を食べ ていた けれど 、 最近 、 魚 を 食 っても 旨 くない と思っている 方は 、 ぜひ 、 子供の ころ 食 った あの 旨 い 魚 を 思い 出 してください 。	▁子供の ころ 、 旨い 魚 を食べ ていた けれど 、 最近 、 魚を 食 っても 旨 くない と思っている 方は 、 ぜひ 、 子供の ころ 食 った あの 旨い 魚を 思い 出 してください 。	▁子供の ころ 、 旨い 魚 を食べ ていた けれど 、 最近 、 魚を食っても 旨 くない と思っている 方は 、 ぜひ 、 子供の ころ 食 ったあの旨い魚を 思い 出 してください 。
1100	-では	全米オープンでは、準決勝で再びフアン・マルティン・デル・ポトロに2-6,2-6,2-6のストレートで敗れた。	▁全 米 オープン では 、 準決勝 で 再び フアン ・ マル ティン ・ デル ・ ポ トロ に 2- 6 , 2- 6 , 2- 6 の ストレート で敗れるた 。	▁全米 オープン では 、 準決勝 で再び フアン ・ マル ティン ・ デル ・ ポ トロ に 2-6 ,2-6 ,2-6 のストレート で敗れるた 。	▁全米 オープン では 、 準決勝 で再びフアン ・ マル ティン ・ デル ・ ポトロに 2-6,2-6 ,2-6 のストレート で敗れるた 。	▁全 米 オープン では 、 準決勝 で 再び フアン ・ マル ティン ・ デル ・ ポ トロ に 2- 6 , 2- 6 , 2- 6 の ストレート で敗れた 。	▁全米 オープン では 、 準決勝 で再び フアン ・ マル ティン ・ デル ・ ポ トロに 2-6 ,2-6 ,2-6 のストレート で敗れた 。	▁全米 オープン では 、 準決勝 で再びフアン ・ マルティン ・ デル ・ ポ トロに 2-6,2-6 ,2-6 のストレート で敗れた 。
1101	-ため	仏像泥棒の1人が脱走したため、処刑を延期する。	▁ 仏像 泥 棒 の 1 人が 脱走 するたため 、 処刑 を 延期 する 。	▁ 仏像 泥 棒 の 1 人が 脱走 するたため 、 処刑 を 延期 する 。	▁ 仏像 泥 棒 の 1 人が 脱走 するたため 、 処刑 を 延期 する 。	▁ 仏像 泥 棒 の 1 人が 脱走 したため 、 処刑 を 延期 する 。	▁ 仏像 泥 棒 の 1 人が 脱走 したため 、 処刑 を 延期 する 。	▁ 仏像 泥 棒 の 1 人が 脱走したため 、 処刑 を 延期 する 。
1102	-たい	またいつか行きたい。	▁また いつ か 行くたい 。	▁また いつ か 行くたい 。	▁また いつ か 行くたい 。	▁また いつ か 行きたい 。	▁また いつ か 行きたい 。	▁またいつか 行きたい 。
1103	-って	覚醒剤依存になってしまう。	▁ 覚 醒 剤 依 存 になるてしまう 。	▁ 覚醒 剤 依 存 になるてしまう 。	▁ 覚醒 剤 依 存 になるてしまう 。	▁ 覚 醒 剤 依存 になって しまう 。	▁ 覚醒 剤 依存 になってしまう 。	▁ 覚醒 剤 依存 になってしまう 。
1104	-ほど,-ものを	故に時勢を見誤ったマッチメイクは興行そのものを窮地に追いやるほどの危険が伴う。	▁ 故に 時 勢 を見 誤 るた マッチ メイク は 興行 その ものを 窮 地に 追い やる ほどの 危険 が 伴う 。	▁ 故に 時勢 を見 誤るた マッチ メイク は 興行 そのものを 窮地に 追いやる ほどの 危険 が 伴う 。	▁故に時勢 を見誤るたマッチ メイク は 興行そのものを 窮地に 追いやるほどの 危険 が 伴う 。	▁ 故に 時 勢 を見 誤 った マッチ メイク は 興行 その ものを 窮 地に 追い やる ほどの 危険 が 伴う 。	▁ 故に 時勢 を見 誤った マッチ メイク は 興行 そのものを 窮地に追い やる ほどの 危険 が 伴う 。	▁ 故に 時勢を見 誤ったマッチ メイク は 興行そのものを 窮地に追い やる ほどの 危険 が 伴う 。
1106	-って	またインターネットで「阪神淡路大震災と復興の記録」のウェブサイトを開設し震災復興の情報発信を当時の地学教諭および中心となって行った。	▁また インターネット で 「 阪神 淡路大震災 と 復興 の 記録 」 の ウェブサイト を開設 する 震災 復興 の情報 発信 を 当時 の地 学 教諭 および 中心 となるて 行くた 。	▁また インターネットで 「 阪神淡路大震災 と 復興 の記録 」 の ウェブサイト を開設 する 震災 復興 の情報 発信 を 当時 の地 学 教諭 および 中心となるて 行くた 。	▁また インターネットで 「 阪神淡路大震災 と復興の記録 」 の ウェブサイト を開設 する 震災 復興 の情報 発信 を 当時 の地 学 教諭 および 中心となるて 行くた 。	▁また インターネット で 「 阪神 淡路大震災 と 復興 の 記録 」 の ウェブサイト を開設 し 震災 復興 の情報 発信 を 当時 の地 学 教諭 および 中心 となって 行った 。	▁また インターネットで 「 阪神 淡路大震災 と 復興 の記録 」 の ウェブサイト を開設 し 震災 復興 の情報 発信 を 当時 の地 学 教諭 および 中心となって 行った 。	▁また インターネットで 「 阪神淡路大震災 と 復興 の記録 」 の ウェブサイト を開設 し 震災 復興 の情報 発信 を 当時 の地 学 教諭 および 中心となって 行った 。
1108	-んで	そんな希望をしっかり汲んでいるお店だと思います。	▁そんな 希望 を しっかり 汲 むている お店だ と思うます 。	▁そんな 希望 を しっかり 汲 むている お店だと思うます 。	▁そんな 希望 を しっかり 汲 むている お店だと思うます 。	▁そんな 希望 を しっかり 汲 んでいる お店 だと思います 。	▁そんな 希望 をしっかり 汲 んでいる お店だと思います 。	▁そんな 希望をしっかり 汲 んでいる お店だと思います 。
1109	-ている,-など	19年12月と21年3月に県警が関係先を家宅捜索するなどして捜査を続けている。	▁19 年 12 月と 21 年 3 月に 県警 が 関係 先 を 家 宅 捜索 するなど するて 捜査 を 続けるている 。	▁19 年 12 月と 21 年 3 月に 県警 が 関係 先 を 家宅捜索 するなどするて 捜査 を続けるている 。	▁19 年 12 月と 21 年 3 月に 県警 が 関係 先 を 家宅捜索 するなどするて 捜査 を続けるている 。	▁19 年 12 月と 21 年 3 月に 県警 が 関係 先 を 家 宅 捜索 するなど して 捜査 を 続けている 。	▁19 年 12 月と 21 年 3 月に 県警 が 関係 先 を 家宅捜索 するなどして 捜査 を続けている 。	▁19 年 12 月と 21 年 3 月に 県警 が 関係 先 を 家宅捜索 するなどして捜査 を続けている 。
1110	-ており	会員の男女数人が暴行と恐喝容疑で被害届を出しており、警視庁は実態解明を進める。	▁会 員の 男女 数 人が 暴 行 と 恐 喝 容疑で 被害 届 を出す ておる 、 警視庁 は実 態 解明 を進める 。	▁会 員の 男女 数人が 暴行 と 恐 喝 容疑で 被害 届 を出す ておる 、 警視庁 は実 態 解明を進める 。	▁会 員の男女数人が 暴行 と 恐 喝容疑で被害届 を出す ておる 、 警視庁 は実 態解明を進める 。	▁会 員の 男女 数 人が 暴 行 と 恐 喝 容疑で 被害 届 を出 しており 、 警視庁 は実 態 解明 を進める 。	▁会 員の 男女 数人が 暴行 と 恐 喝 容疑で 被害 届 を出 しており 、 警視庁 は実 態 解明を進める 。	▁会 員の 男女 数人が暴行と恐 喝 容疑で 被害届を出 しており 、 警視庁 は実 態 解明を進める 。
1111	-から,-ています,-てしまっ,-よう	ところが野田氏は,これらのネットワークから排除されてしまったようで,その経緯が本書で説明されています。	▁ところが 野 田氏は , これらの ネットワーク から 排除 するれるて しまうた ようだ , その 経緯 が本 書で 説明 するれるているます 。	▁ところが 野 田氏は , これらの ネットワーク から 排除 するれるて しまうたようだ , その 経緯 が本 書で 説明 するれるているます 。	▁ところが 野 田氏は , これらの ネットワーク から 排除 するれるて しまうたようだ , その 経緯 が本 書で 説明するれるているます 。	▁ところが 野 田氏は , これらの ネットワーク から 排除 されて しまった ようで , その 経緯 が本 書で 説明 されています 。	▁ところが 野 田氏は , これらの ネットワーク から 排除 されてしまった ようで , その 経緯 が本 書で 説明 されています 。	▁ところが 野 田氏は , これらの ネットワーク から 排除 されてしまった ようで , その 経緯 が本 書で 説明されています 。
1112	-によって,-れる	各専門委員会は、委員長と各学級の委員によって、文化委員会、生活委員会、美化委員会、体育委員会、保健委員会、図書委員会が構成される。	▁各 専門 委員会 は 、 委員長 と 各 学 級 の 委員 によって 、 文化 委員会 、 生活 委員会 、 美 化 委員会 、 体育 委員会 、 保健 委員会 、 図書 委員会が 構成するれる 。	▁各 専門 委員会は 、 委員長 と 各 学 級の 委員 によって 、 文化 委員会 、 生活 委員会 、 美化 委員会 、 体育 委員会 、 保健 委員会 、 図書 委員会が 構成するれる 。	▁各 専門委員会は 、 委員長 と 各 学 級の 委員によって 、 文化 委員会 、 生活 委員会 、 美化委員会 、 体育 委員会 、 保健 委員会 、 図書 委員会が 構成するれる 。	▁各 専門 委員会 は 、 委員長 と 各 学 級 の 委員 によって 、 文化 委員会 、 生活 委員会 、 美 化 委員会 、 体育 委員会 、 保健 委員会 、 図書 委員会が 構成される 。	▁各 専門 委員会は 、 委員長 と 各 学 級の 委員 によって 、 文化 委員会 、 生活 委員会 、 美化 委員会 、 体育 委員会 、 保健 委員会 、 図書 委員会が 構成される 。	▁各 専門委員会は 、 委員長 と 各 学 級の 委員 によって 、 文化 委員会 、 生活 委員会 、 美化委員会 、 体育 委員会 、 保健 委員会 、 図書 委員会が 構成される 。
1113	-である	第1楽章と同じく長大で、全曲の核ともなる葬送行進曲風の趣を持つ悲傷の色濃い楽章である。	▁第 1 楽 章 と同じだ 長 大だ 、 全 曲の 核 とも なる 葬 送 行 進 曲 風の 趣 を持つ 悲 傷 の色 濃い 楽 章 だ 。	▁第 1 楽章 と同じだ 長 大だ 、 全 曲の 核 ともなる 葬 送 行進 曲 風の 趣 を持つ 悲 傷 の色 濃い 楽章 だ 。	▁第 1 楽章 と同じだ 長 大だ 、 全 曲の 核 ともなる 葬送行進曲風の 趣 を持つ 悲 傷 の色濃い楽章だ 。	▁第 1 楽 章 と同じく 長 大 で 、 全 曲の 核 とも なる 葬 送 行 進 曲 風の 趣 を持つ 悲 傷 の色 濃い 楽 章 である 。	▁第 1 楽章 と同じく 長 大で 、 全 曲の 核 とも なる 葬 送 行進 曲 風の 趣 を持つ 悲 傷 の色 濃い 楽章 である 。	▁第 1 楽章と同じく 長大で 、 全 曲の 核 とも なる葬送行進曲 風の 趣 を持つ 悲 傷 の色濃い楽章 である 。
1114	-である,-なり	なお、シングルとアルバムのアレンジは異なり、録音は別である。	▁なお 、 シングル と アルバム のア レンジ は 異なる 、 録音 は別 だある 。	▁なお 、 シングル とアルバム のア レンジ は 異なる 、 録音 は別 だある 。	▁なお 、 シングル とアルバムのア レンジは異なる 、 録音 は別 だある 。	▁なお 、 シングル と アルバム のア レンジ は 異なり 、 録音 は別 である 。	▁なお 、 シングル とアルバム のア レンジ は異なり 、 録音 は別 である 。	▁なお 、 シングル とアルバムのア レンジ は異なり 、 録音 は別 である 。
1115	-って,-以上	東京ドームの集会も10回以上行っています。	▁東京 ド ームの 集会 も 10 回 以上 行う ているます 。	▁東京 ドームの 集会 も 10 回以上 行うているます 。	▁東京 ドームの集会も 10 回以上 行うているます 。	▁東京 ド ームの 集会 も 10 回 以上 行 っています 。	▁東京 ドームの 集会 も 10 回以上 行っています 。	▁東京 ドームの集会も 10 回以上 行っています 。
1116	-って	ソ連の各共和国は、国内問題に対処する自らの政府を持っていた。	▁ソ 連の 各 共和国 は 、 国内 問題 に対 処 する 自らの 政府 を持つているた 。	▁ソ連の 各 共和国は 、 国内 問題 に対 処 する 自らの 政府 を持つているた 。	▁ソ連の各 共和国は 、 国内 問題 に対 処 する 自らの 政府 を持つているた 。	▁ソ 連の 各 共和国 は 、 国内 問題 に対 処 する 自らの 政府 を持っていた 。	▁ソ連の 各 共和国は 、 国内 問題 に対処 する 自らの 政府 を持っていた 。	▁ソ連の各 共和国は 、 国内 問題 に対処 する 自らの 政府 を持っていた 。
1117	-には	霊芝にはたくさんの種類があります。	▁ 霊芝 には たくさん の種類 があるます 。	▁霊芝には たくさん の種類 があるます 。	▁霊芝には たくさん の種類 があるます 。	▁ 霊芝 には たくさん の種類 があります 。	▁霊芝には たくさん の種類 があります 。	▁霊芝には たくさん の種類 があります 。
1119	-では	明石駅では「北3番のりば」から発車する。	▁明 石 駅 では 「 北 3 番の り ば 」 から 発車 する 。	▁明 石 駅では 「 北 3 番の り ば 」 から 発車 する 。	▁明 石 駅では 「 北 3 番の り ば 」 から 発車 する 。	▁明 石 駅 では 「 北 3 番の り ば 」 から 発車 する 。	▁明 石 駅では 「 北 3 番の り ば 」 から 発車 する 。	▁明石駅では 「 北 3 番の り ば 」 から 発車 する 。
1120	-である	ここの郡庁所在地はコロンバスGR6である。	▁ここの 郡 庁 所在 地は コロン バス GR ▁6 だ 。	▁ここの 郡庁 所在地は コロン バス GR ▁6 だ 。	▁ここの 郡庁所在地は コロン バス GR ▁6 だ 。	▁ここの 郡 庁 所在 地は コロン バス GR ▁6 である 。	▁ここの 郡庁 所在地は コロン バス GR ▁6 である 。	▁ここの 郡庁所在地は コロン バス GR ▁6 である 。
1121	-だい	子育てで毎日だいぶ疲れ気味。	▁子 育て で 毎日 だ いぶ 疲 れる 気 味 。	▁子 育て で 毎日 だ いぶ 疲れる 気 味 。	▁子 育て で 毎日 だいぶ疲れる気 味 。	▁子 育て で 毎日 だ い ぶ 疲れ 気 味 。	▁子 育て で 毎日 だ いぶ 疲れ 気 味 。	▁子 育て で 毎日 だいぶ疲れ気 味 。
1122	-です,-れる	年に一度は必ず訪れる場所です。	▁ 年に 一 度は 必ず 訪れる 場所だ 。	▁ 年に 一度は 必ず 訪れる 場所だ 。	▁ 年に 一度は 必ず 訪れる 場所だ 。	▁ 年に 一 度は 必ず 訪れる 場所です 。	▁ 年に 一度は 必ず 訪れる 場所です 。	▁ 年に 一度は 必ず 訪れる 場所です 。
