id	affixes	text	en_ud2.bpe_12442.txt	en_ud2.bpe_24884.txt	en_ud2.bpe_49768.txt
786	-ed,-ency,-ing,-th,dis-,off-,sub-	GOODWYN: Archibald says the frequency with which Mr. Bush discussed the subject was off-putting to him.	▁GOODWYN : ▁Archibald ▁says ▁the▁f re qu ency ▁with ▁which ▁Mr . ▁Bush ▁discuss ed▁the ▁subject ▁was ▁off - put t ing▁to ▁him .	▁GOODWYN : ▁Archibald ▁says ▁the▁fre quency ▁with ▁which ▁Mr . ▁Bush ▁discussed▁the ▁subject ▁was ▁off - put t ing▁to ▁him .	▁GOODWYN : ▁Archibald▁says ▁the▁fre quency▁with ▁which ▁Mr . ▁Bush ▁discussed▁the ▁subject ▁was ▁off - put t ing▁to ▁him .
787	-ean,-en,be-	Mr. ARCHIBALD: I mean, at that time, I was 28; George would have been 25 or 26.	▁Mr . ▁ARCHIBALD : ▁I▁mean , ▁at▁that▁time , ▁I▁was ▁28 ; ▁George ▁would▁have▁been ▁25 ▁or ▁2 6.	▁Mr . ▁ARCHIBALD : ▁I▁mean , ▁at▁that▁time , ▁I▁was ▁28 ; ▁George ▁would▁have▁been ▁25 ▁or ▁2 6.	▁Mr . ▁ARCHIBALD : ▁I▁mean , ▁at▁that▁time , ▁I▁was ▁28 ; ▁George ▁would▁have▁been ▁25 ▁or ▁2 6.
788	-al,-ate,-ial,-ing,-ious,-ly,-one,ab-,be-,con-,in-,mid-,par-,re-,un-	And I thought it was really unusual that someone in their mid-20s would initiate conversations, particularly in the context of something as serious as a US senatorial campaign, by talking about their drinking the night before.	▁And ▁I▁thought ▁it▁was ▁really ▁unusual ▁that ▁someone ▁in▁their ▁mid -20 s ▁would ▁initi ate ▁convers ations , ▁particularly ▁in▁the ▁context ▁of ▁something ▁as ▁serious ▁as▁a ▁US ▁sen ator ial ▁campaign , ▁by ▁talking▁about ▁their ▁drinking ▁the ▁night ▁before .	▁And ▁I▁thought ▁it▁was ▁really ▁unusual ▁that▁someone ▁in▁their ▁mid -20 s ▁would ▁initi ate ▁conversations , ▁particularly ▁in▁the ▁context ▁of ▁something ▁as ▁serious ▁as▁a ▁US ▁sen ator ial ▁campaign , ▁by ▁talking▁about ▁their ▁drinking ▁the▁night ▁before .	▁And ▁I▁thought ▁it▁was▁really ▁unusual ▁that▁someone ▁in▁their▁mid -20 s ▁would ▁initiate ▁conversations , ▁particularly ▁in▁the ▁context ▁of▁something ▁as ▁serious ▁as▁a ▁US▁senator ial ▁campaign , ▁by ▁talking▁about ▁their ▁drinking ▁the▁night ▁before .
789	-al,-ate,-ly,an-,in-,un-	I thought it unusual and, frankly, inappropriate.	▁I▁thought ▁it ▁unusual ▁and , ▁fran k ly , ▁in appropri ate .	▁I▁thought ▁it ▁unusual ▁and , ▁frankly , ▁inappropriate .	▁I▁thought ▁it ▁unusual ▁and , ▁frankly , ▁inappropriate .
790	-ator,-ed,-en,-er,-es,-et,-ic,-ing,-le,-on,-or,ab-,af-,al-,an-,dis-,off-,ov-	GOODWYN: According to Archibald, Mr. Bush would also sometimes tell stories about his days at Yale in New Haven, and how whenever he got pulled over for erratic driving, he was let go after the officers discovered he was the grandson of a Connecticut US senator.	▁GOODWYN : ▁According▁to ▁Archibald , ▁Mr . ▁Bush ▁would ▁also ▁sometimes ▁tell ▁stories ▁about▁his ▁days ▁at ▁Yale ▁in ▁New ▁Ha ven , ▁and ▁how ▁whenever ▁he ▁got ▁pull ed▁over ▁for ▁er r atic ▁driving , ▁he▁was ▁let ▁go ▁after▁the ▁officers ▁discovered ▁he▁was ▁the ▁grand son ▁of▁a ▁Con nect ic ut ▁US ▁sen ator .	▁GOODWYN : ▁According▁to ▁Archibald , ▁Mr . ▁Bush ▁would ▁also ▁sometimes ▁tell ▁stories ▁about▁his ▁days ▁at ▁Yale ▁in▁New ▁Haven , ▁and▁how ▁whenever ▁he ▁got ▁pull ed▁over ▁for ▁err atic ▁driving , ▁he▁was ▁let ▁go ▁after▁the ▁officers ▁discovered ▁he▁was ▁the ▁grandson ▁of▁a ▁Connect icut ▁US ▁sen ator .	▁GOODWYN : ▁According▁to ▁Archibald , ▁Mr . ▁Bush ▁would ▁also ▁sometimes ▁tell ▁stories ▁about▁his ▁days ▁at▁Yale ▁in▁New▁Haven , ▁and▁how ▁whenever ▁he ▁got ▁pulled▁over ▁for ▁erratic ▁driving , ▁he▁was ▁let ▁go▁after▁the ▁officers ▁discovered ▁he▁was ▁the ▁grandson ▁of▁a ▁Connecticut ▁US▁senator .
791	-ed,-ory,mid-,re-	Archibald, a middle-class Alabama boy--who, by the way, is now a registered Democrat--didn't like that story.	▁Archibald , ▁a▁m iddle - cl ass ▁Alabama ▁boy -- who , ▁by▁the▁way , ▁is▁now ▁a ▁registered ▁Democr at -- d id n ' t▁like ▁that ▁story .	▁Archibald , ▁a▁m iddle - class ▁Alabama ▁boy -- who , ▁by▁the▁way , ▁is▁now ▁a ▁registered ▁Democrat -- didn ' t▁like ▁that ▁story .	▁Archibald , ▁a▁m iddle - class▁Alabama ▁boy -- who , ▁by▁the▁way , ▁is▁now ▁a ▁registered ▁Democrat -- didn ' t▁like▁that ▁story .
792	-er,-et,-ey,-ment,-on,-ped,en-,to-	Mr. ARCHIBALD: He told us whenever he was stopped, as soon as the law enforcement found out that he was the grandson of Prescott Bush, they would let him go.	▁Mr . ▁ARCHIBALD : ▁He ▁told▁us ▁whenever ▁he▁was ▁stopped , ▁as▁soon▁as ▁the▁l aw ▁enforcement ▁found ▁out ▁that▁he ▁was▁the ▁grand son ▁of ▁P res cott ▁Bush , ▁they▁would ▁let▁him ▁go .	▁Mr . ▁ARCHIBALD : ▁He ▁told▁us ▁whenever ▁he▁was ▁stopped , ▁as▁soon▁as ▁the▁l aw ▁enforcement ▁found ▁out ▁that▁he ▁was▁the ▁grandson ▁of ▁Pres cott ▁Bush , ▁they▁would ▁let▁him ▁go .	▁Mr . ▁ARCHIBALD : ▁He▁told▁us ▁whenever ▁he▁was ▁stopped , ▁as▁soon▁as ▁the▁law ▁enforcement ▁found▁out ▁that▁he ▁was▁the ▁grandson ▁of▁Prescott ▁Bush , ▁they▁would ▁let▁him▁go .
793	-ways,ab-,al-	"And he would always laugh about that. """	"▁And ▁he▁would ▁always ▁laugh ▁about ▁that . ▁"""	"▁And ▁he▁would ▁always ▁laugh ▁about ▁that .▁"""	"▁And ▁he▁would ▁always ▁laugh ▁about▁that .▁"""
794	-er,-es,-ling,-ly,di-,re-	Goodwyn dutifully notes that Baba Groom didn't remember George telling drunk stories.	▁Good w yn ▁dut if ully ▁not es▁that ▁B ab a ▁G room ▁didn ' t▁remember ▁George ▁tell ing ▁drunk ▁stories .	▁Good wyn ▁dut ifully ▁not es▁that ▁Baba ▁Groom ▁didn ' t▁remember ▁George ▁tell ing ▁drunk ▁stories .	▁Goodwyn ▁dut ifully ▁not es▁that ▁Baba▁Groom ▁didn ' t▁remember ▁George ▁telling ▁drunk ▁stories .
795	-ent,-ey,-ing,to-	"But that means nothing, since they weren't the sort of things guys like Bush told the ""girls""."	"▁But ▁that▁means ▁nothing , ▁since ▁they▁were n ' t ▁the▁s ort ▁of ▁things ▁guys ▁like ▁Bush ▁told ▁the ▁"" g irl s ""."	"▁But ▁that▁means ▁nothing , ▁since ▁they▁weren ' t ▁the▁s ort▁of ▁things ▁guys ▁like ▁Bush ▁told▁the ▁"" g irl s ""."	"▁But ▁that▁means ▁nothing , ▁since ▁they▁weren ' t▁the▁s ort▁of ▁things ▁guys ▁like ▁Bush ▁told▁the ▁"" g irl s ""."
796	-ess,-ing,-th,an-,im-	He was trying to buddy with Archibald and impress him.	▁He▁was ▁trying▁to ▁bud dy ▁with ▁Archibald ▁and ▁impress ▁him .	▁He▁was ▁trying▁to ▁bud dy ▁with ▁Archibald ▁and ▁impress ▁him .	▁He▁was ▁trying▁to ▁buddy▁with ▁Archibald ▁and ▁impress ▁him .
797	-ed,-es,-in,-on,-or,be-,deca-,un-	Again, decades of this sort of behavior do not leave a person untouched.	▁Again , ▁decades ▁of▁this ▁sort▁of ▁behavior ▁do▁not ▁leave ▁a▁person ▁unt ou ched .	▁Again , ▁decades ▁of▁this ▁sort▁of ▁behavior ▁do▁not ▁leave ▁a▁person ▁unt ouched .	▁Again , ▁decades ▁of▁this ▁sort▁of ▁behavior ▁do▁not ▁leave ▁a▁person ▁unt ouched .
798	-er,-ic,an-	Our world is in crisis and our Republic is in danger.	▁Our ▁world ▁is▁in ▁crisis ▁and▁our ▁Republic ▁is▁in ▁danger .	▁Our ▁world ▁is▁in ▁crisis ▁and▁our ▁Republic ▁is▁in ▁danger .	▁Our ▁world ▁is▁in ▁crisis ▁and▁our ▁Republic ▁is▁in ▁danger .
799	-an,-ent	It should not be left in the hands of a man who spent his life like this.	▁It ▁should ▁not▁be ▁left ▁in▁the ▁hand s▁of ▁a ▁man ▁who ▁spent ▁his ▁life ▁like▁this .	▁It ▁should▁not▁be ▁left ▁in▁the ▁hand s▁of▁a ▁man▁who ▁spent ▁his▁life ▁like▁this .	▁It ▁should▁not▁be ▁left ▁in▁the▁hand s▁of▁a ▁man▁who ▁spent ▁his▁life ▁like▁this .
800	-en,-es,-ing,-th	When the cities are on fire with the burning flesh of men	▁When ▁the▁c ities ▁are ▁on ▁fire ▁with ▁the▁b urn ing ▁fl es h ▁of ▁men	▁When ▁the▁c ities ▁are ▁on ▁fire ▁with ▁the▁b urn ing▁fl esh ▁of ▁men	▁When ▁the▁cities ▁are▁on ▁fire ▁with ▁the▁b urning▁fl esh▁of▁men
801	-er,-st,-th,de-,en-,re-	Just remember that death is not the end	▁Just ▁remember ▁that ▁death ▁is▁not ▁the ▁end	▁Just ▁remember▁that ▁death ▁is▁not ▁the▁end	▁Just ▁remember▁that ▁death▁is▁not ▁the▁end
802	-arch,-en,-in,-ing,-st,ab-,on-	And you search in vain to find just one law abiding citizen	▁And ▁you ▁search ▁in ▁v ain ▁to▁find ▁just ▁one ▁law ▁ab iding ▁citizen	▁And ▁you ▁search ▁in ▁vain ▁to▁find ▁just▁one ▁law ▁ab iding ▁citizen	▁And▁you ▁search ▁in▁vain ▁to▁find ▁just▁one ▁law ▁ab iding ▁citizen
803	-an,-er,-st,-th,de-,en-,re-	Just remember that death is not the end - Bob Dylan	▁Just ▁remember ▁that ▁death ▁is▁not ▁the ▁end ▁- ▁Bob ▁D yl an	▁Just ▁remember▁that ▁death ▁is▁not ▁the▁end ▁- ▁Bob ▁D yl an	▁Just ▁remember▁that ▁death▁is▁not ▁the▁end ▁- ▁Bob ▁D yl an
804	-ed,-es,-ese,-id,-ome,-ont,-tion,at-,dis-,to-	Afraid I don't have time today to discuss these, but some stories need attention:	▁Af raid ▁I▁don ' t▁have ▁time ▁today ▁to▁discuss ▁these , ▁but ▁some ▁stories ▁need ▁attention :	▁Af raid ▁I▁don ' t▁have ▁time ▁today ▁to▁discuss ▁these , ▁but▁some ▁stories ▁need ▁attention :	▁Afraid ▁I▁don ' t▁have ▁time ▁today ▁to▁discuss ▁these , ▁but▁some ▁stories ▁need ▁attention :
805	-en,-ine,-or	"From Wednesday's Mirror the headline, ""Have 200,000 AK47s Fallen Into the Hands of Iraq Terrorists?"""	"▁From ▁Wednesday ' s ▁M ir ror ▁the ▁head line ,▁"" H ave ▁200,000 ▁AK 47 s ▁Fall en ▁Int o ▁the ▁H and s▁of ▁Iraq ▁Terror ists ?"""	"▁From ▁Wednesday ' s ▁Mir ror ▁the ▁head line ,▁"" H ave ▁200,000 ▁AK 47 s ▁Fall en ▁Into ▁the▁H and s▁of ▁Iraq ▁Terror ists ?"""	"▁From ▁Wednesday ' s▁Mir ror ▁the ▁head line ,▁"" H ave ▁200,000 ▁AK 47 s ▁Fall en▁Into▁the▁H ands▁of▁Iraq ▁Terrorists ?"""
806	-ad,-ard,-ee,-ion,al-,dis-	(also see this thread on the RI discussion board):	▁( also ▁see ▁this ▁th read ▁on▁the ▁R I ▁discussion ▁board ):	▁( also ▁see▁this ▁thread ▁on▁the ▁RI ▁discussion ▁board ):	▁( also ▁see▁this ▁thread ▁on▁the▁RI ▁discussion ▁board ):
807	-ed,-en,-ent,-es,-ity,-ome,be-,for-,ter-	Some 200,000 guns the US sent to Iraqi security forces may have been smuggled to terrorists, it was feared yesterday.	▁Some ▁200,000 ▁gun s▁the ▁US ▁sent▁to ▁Iraqi ▁security ▁forces ▁may▁have▁been ▁smugg l ed▁to ▁terrorists , ▁it▁was ▁fe ared ▁yesterday .	▁Some ▁200,000 ▁gun s▁the ▁US ▁sent▁to ▁Iraqi ▁security▁forces ▁may▁have▁been ▁smugg led▁to ▁terrorists , ▁it▁was ▁feared ▁yesterday .	▁Some ▁200,000 ▁gun s▁the ▁US▁sent▁to ▁Iraqi ▁security▁forces ▁may▁have▁been ▁smuggled▁to ▁terrorists , ▁it▁was ▁feared ▁yesterday .
808	-ase,-en,-ia,-ly,be-	The 99-tonne cache of AK47s was to have been secretly flown out from a US base in Bosnia.	▁The ▁99 - ton ne ▁c ache ▁of ▁AK 47 s ▁was▁to ▁have▁been ▁secret ly ▁fl own ▁out ▁from▁a ▁US ▁base ▁in▁B os nia .	▁The ▁99 - ton ne ▁c ache ▁of ▁AK 47 s ▁was▁to ▁have▁been ▁secret ly ▁flown ▁out ▁from▁a ▁US ▁base ▁in▁B osnia .	▁The ▁99- ton ne▁cache ▁of▁AK 47 s ▁was▁to ▁have▁been ▁secretly ▁flown ▁out ▁from▁a ▁US ▁base ▁in▁Bosnia .
809	-ed	But the four planeloads of arms have vanished.	▁But ▁the▁four ▁plan el oad s▁of ▁arms ▁have ▁van ished .	▁But ▁the▁four ▁plan eload s▁of▁arms ▁have ▁van ished .	▁But ▁the▁four ▁planeload s▁of▁arms ▁have ▁vanished .
810	-ad,-al,-en,-ment,-or,de-	Orders for the deal to go ahead were given by the US Department of Defense.	▁Ord ers ▁for▁the ▁deal ▁to▁go ▁ahead ▁were ▁given ▁by▁the ▁US ▁Department▁of ▁Defense .	▁Orders ▁for▁the ▁deal ▁to▁go▁ahead ▁were ▁given ▁by▁the▁US ▁Department▁of ▁Defense .	▁Orders ▁for▁the ▁deal ▁to▁go▁ahead ▁were ▁given ▁by▁the▁US ▁Department▁of ▁Defense .
811	-ate,-ed,-ia,-plex,com-,contra-	But the work was contracted out via a complex web of private arms traders .	▁But ▁the▁work ▁was ▁contract ed▁out ▁via ▁a ▁complex ▁web ▁of ▁private ▁arms ▁traders ▁.	▁But ▁the▁work ▁was ▁contract ed▁out ▁via ▁a ▁complex ▁web ▁of ▁private ▁arms ▁traders ▁.	▁But ▁the▁work ▁was ▁contract ed▁out ▁via ▁a ▁complex ▁web ▁of ▁private ▁arms ▁traders ▁.
812	-an,-ed,-ia,-ine,-ling,-ment,-or,-ty,blast-,dis-,trans-	And the Moldovan airline used to transport the shipment was blasted by the UN in 2003 for smuggling arms to Liberia, human rights group Amnesty has discovered.	▁And ▁the▁M old ov an ▁airline ▁used▁to ▁transport ▁the ▁ship ment ▁was ▁blast ed▁by▁the ▁UN ▁in ▁2003 ▁for ▁smugg ling ▁arm s▁to ▁Liber ia , ▁human ▁rights ▁group ▁Am nest y ▁has ▁discovered .	▁And ▁the▁M oldovan▁airline ▁used▁to ▁transport ▁the▁ship ment ▁was ▁blast ed▁by▁the ▁UN ▁in ▁2003 ▁for ▁smuggling ▁arm s▁to ▁Liber ia , ▁human▁rights ▁group ▁Amnesty ▁has ▁discovered .	▁And ▁the▁M oldovan▁airline ▁used▁to ▁transport ▁the▁ship ment ▁was ▁blast ed▁by▁the ▁UN ▁in ▁2003 ▁for ▁smuggling ▁arm s▁to ▁Liber ia , ▁human▁rights ▁group ▁Amnesty ▁has ▁discovered .
813	-ad,-ant,-ate,-ent,-ing,-or,al-,an-,in-	It follows a separate probe claiming that thousands of guns meant for Iraq's police and army instead went to al-Qaeda .	▁It ▁follow s▁a ▁separate ▁pro be ▁claim ing▁that ▁thousands▁of ▁guns ▁meant ▁for ▁Iraq ' s ▁police ▁and ▁army ▁instead ▁went▁to ▁al - Qaeda ▁.	▁It ▁follow s▁a ▁separate ▁pro be ▁claim ing▁that ▁thousands▁of ▁guns ▁meant ▁for ▁Iraq ' s ▁police ▁and ▁army ▁instead ▁went▁to ▁al - Qaeda ▁.	▁It ▁follow s▁a ▁separate ▁probe ▁claiming▁that ▁thousands▁of ▁guns ▁meant ▁for▁Iraq ' s▁police ▁and ▁army ▁instead ▁went▁to ▁al - Qaeda ▁.
814	-able,-an,-es,-id,-or,-ty,ac-,on-,un-	"Amnesty chief spokesman Mike Blakemore said: ""It's unbelievable that no one can account for 200,000 assault rifles."	"▁Am nest y ▁chief ▁spokesman ▁Mike ▁Bl ake more ▁said :▁"" It ' s ▁un believable ▁that ▁no▁one ▁can ▁account ▁for ▁200,000 ▁assault ▁r if les ."	"▁Amnesty ▁chief ▁spokesman ▁Mike ▁Bl ake more ▁said :▁"" It ' s▁un believable ▁that▁no▁one ▁can ▁account ▁for ▁200,000 ▁assault ▁rif les ."	"▁Amnesty ▁chief ▁spokesman ▁Mike ▁Bl ake more ▁said :▁"" It ' s▁unbelievable ▁that▁no▁one ▁can ▁account ▁for ▁200,000 ▁assault▁rifles ."
815	-ese,-ing,-one,mis-,ter-	"If these weapons have gone missing it's a terrifying prospect."""	"▁If ▁these ▁weapons ▁have ▁gone ▁miss ing▁it ' s▁a ▁ter r ifying ▁pro spect ."""	"▁If ▁these ▁weapons ▁have▁gone ▁miss ing▁it ' s▁a ▁terr ifying ▁prospect ."""	"▁If▁these ▁weapons ▁have▁gone ▁miss ing▁it ' s▁a▁terr ifying ▁prospect ."""
816	-an,-ar,-ed,-ence,-ian,de-	American defence chiefs hired a US firm to take the guns, from the 90s Bosnian war, to Iraq.	▁American ▁defence ▁chief s ▁h ired ▁a▁US ▁firm ▁to▁take ▁the ▁guns , ▁from▁the ▁90 s ▁B os n ian ▁war , ▁to ▁Iraq .	▁American ▁defence ▁chief s▁h ired ▁a▁US ▁firm ▁to▁take ▁the ▁guns , ▁from▁the ▁90 s▁B osnian ▁war , ▁to▁Iraq .	▁American ▁defence ▁chief s▁h ired▁a▁US ▁firm ▁to▁take▁the ▁guns , ▁from▁the ▁90 s▁B osnian▁war , ▁to▁Iraq .
817	-ad,-en,-fic,-ly,an-,be-,con-,re-,to-	But air traffic controllers in Baghdad have no record of the flights, which supposedly took off between July 2004 and July 2005.	▁But ▁air ▁traffic ▁controll ers▁in ▁Baghdad ▁have ▁no ▁record ▁of▁the ▁fl ights , ▁which ▁suppos edly ▁took ▁off ▁between ▁July ▁2004 ▁and ▁July ▁2005.	▁But ▁air ▁traffic ▁controll ers▁in ▁Baghdad ▁have▁no ▁record ▁of▁the ▁flights , ▁which ▁supposedly ▁took ▁off ▁between ▁July ▁2004 ▁and▁July ▁2005.	▁But ▁air ▁traffic ▁controll ers▁in ▁Baghdad ▁have▁no ▁record ▁of▁the ▁flights , ▁which ▁supposedly ▁took▁off ▁between ▁July ▁2004 ▁and▁July ▁2005.
818	-ad,-an,-ed,-es,-ey,-ia,-or,-tion,-ware,ad-,an-,co-,con-,for-,re-	"A coalition forces spokesman confirmed they had not received ""any weapons from Bosnia"" and added they were ""not aware of any purchases for Iraq from Bosnia""."	"▁A ▁co alition ▁forces ▁spokesman ▁confirmed ▁they▁had ▁not ▁received ▁"" any ▁weapons ▁from▁B os nia "" ▁and ▁added ▁they▁were ▁"" not ▁aware ▁of▁any ▁purch ases ▁for ▁Iraq ▁from▁B os nia ""."	"▁A ▁coalition ▁forces ▁spokesman ▁confirmed ▁they▁had ▁not▁received ▁"" any ▁weapons ▁from▁B osnia "" ▁and ▁added ▁they▁were ▁"" not ▁aware ▁of▁any ▁purch ases ▁for ▁Iraq ▁from▁B osnia ""."	"▁A▁coalition ▁forces ▁spokesman ▁confirmed ▁they▁had ▁not▁received ▁"" any ▁weapons ▁from▁Bosnia "" ▁and ▁added ▁they▁were ▁"" not ▁aware▁of▁any ▁purch ases▁for▁Iraq ▁from▁Bosnia ""."
819	-ed,-ian,-ing,-ish,al-,an-,be-,in-,off-	Nato and US officials have already voiced fears that Bosnian arms - sold by US, British and Swiss firms - are being passed to insurgents.	▁N ato ▁and▁US ▁officials ▁have▁already ▁v o iced ▁fear s▁that ▁B os n ian ▁arms ▁- ▁sold ▁by ▁US , ▁British ▁and▁S w iss ▁firm s ▁- ▁are ▁being ▁pass ed▁to ▁insurgents .	▁N ato ▁and▁US ▁officials ▁have▁already ▁vo iced ▁fear s▁that ▁B osnian ▁arms ▁- ▁sold ▁by▁US , ▁British ▁and▁S w iss ▁firm s ▁- ▁are▁being ▁pass ed▁to ▁insurgents .	▁N ato▁and▁US ▁officials ▁have▁already ▁vo iced ▁fear s▁that ▁B osnian▁arms ▁- ▁sold▁by▁US , ▁British ▁and▁Swiss ▁firm s ▁- ▁are▁being ▁pass ed▁to ▁insurgents .
820	-all,-an,-es,-ey,-id,-ing,-ism,-ont,-ure,en-,in-	"A NATO spokesman said: ""There's no tracking mechanism to ensure they don't fall into the wrong hands."	"▁A ▁N ATO ▁spokesman ▁said :▁"" There ' s▁no ▁track ing▁me ch anism ▁to▁ensure ▁they▁don ' t ▁fall ▁into▁the ▁wrong ▁hands ."	"▁A ▁NATO ▁spokesman ▁said :▁"" There ' s▁no ▁track ing▁me ch anism ▁to▁ensure ▁they▁don ' t ▁fall ▁into▁the ▁wrong ▁hands ."	"▁A▁NATO ▁spokesman ▁said :▁"" There ' s▁no▁track ing▁mechanism ▁to▁ensure ▁they▁don ' t ▁fall ▁into▁the▁wrong ▁hands ."
821	-ed,-en,-ome,be-,con-	"There are concerns that some may have been siphoned off."""	"▁There▁are ▁concern s▁that ▁some ▁may▁have▁been ▁s ip h on ed▁off ."""	"▁There▁are ▁concern s▁that ▁some ▁may▁have▁been ▁s ip h on ed▁off ."""	"▁There▁are ▁concern s▁that ▁some ▁may▁have▁been ▁s iphoned▁off ."""
822	-al,-ar,-ed,-er,-es,-or,al-,de-,for-,in-,new-,re-	This year a newspaper claimed two UK firms were involved in a deal in which thousands of guns for Iraqi forces were re-routed to al-Qaeda.	▁This ▁year ▁a ▁newspaper ▁claim ed ▁two ▁UK ▁firm s▁were ▁involved▁in ▁a ▁deal ▁in▁which ▁thousands▁of ▁gun s▁for ▁Iraqi ▁forces ▁were ▁re - r out ed▁to ▁al - Qaeda .	▁This▁year ▁a ▁newspaper ▁claimed ▁two ▁UK ▁firm s▁were ▁involved▁in ▁a ▁deal ▁in▁which ▁thousands▁of ▁gun s▁for ▁Iraqi ▁forces ▁were ▁re - r out ed▁to ▁al - Qaeda .	▁This▁year ▁a ▁newspaper ▁claimed▁two ▁UK ▁firm s▁were ▁involved▁in ▁a ▁deal ▁in▁which ▁thousands▁of ▁gun s▁for ▁Iraqi▁forces ▁were▁re - r out ed▁to ▁al - Qaeda .
823	-an,-es,-ine,-or,an-,on-	The Moldovan airline is Aerocom, and yes , it's one of Victor Bout's .	▁The▁M old ov an ▁airline ▁is ▁A er oc om , ▁and ▁yes ▁, ▁it ' s ▁one▁of ▁Vict or ▁B out ' s ▁.	▁The▁M oldovan▁airline ▁is ▁Aerocom , ▁and▁yes ▁, ▁it ' s ▁one▁of ▁Victor ▁Bout ' s ▁.	▁The▁M oldovan▁airline ▁is▁Aerocom , ▁and▁yes ▁, ▁it ' s▁one▁of ▁Victor▁Bout ' s ▁.
824	-all,-en,-ence,-es,-est,-ics,-in,-ing,-ment,-ome,-ory,-ways,ag-,al-,in-,re-	It's always a bang-your-head-against-the-wall moment, reading again the play the incompetence theory receives, even from some of the Administration's harshest mainstream critics.	▁It ' s▁always ▁a▁b ang - y our - head - ag ain st - the - w all ▁moment , ▁reading ▁again ▁the ▁play ▁the▁in compet ence ▁theory ▁receives , ▁even ▁from ▁some▁of▁the ▁Administration ' s ▁h ars hest ▁main stream ▁crit ics .	▁It ' s▁always ▁a▁b ang - your - head - again st - the - wall ▁moment , ▁reading ▁again ▁the ▁play ▁the▁in competence ▁theory ▁receives , ▁even ▁from ▁some▁of▁the ▁Administration ' s▁h ars hest ▁mainstream ▁crit ics .	▁It ' s▁always ▁a▁b ang - your - head - against - the - wall▁moment , ▁reading ▁again ▁the ▁play▁the▁in competence ▁theory ▁receives , ▁even▁from ▁some▁of▁the ▁Administration ' s▁h ars hest ▁mainstream ▁crit ics .
825	-al,-ation,-ative,-ed,-en,-es,-ese,-ity,-land,-le,-ment,-tion,ad-,an-,be-,in-,mis-,re-	"But then, even to talk of an ""administration"" may be misdirection at this point, given how little representative government means in the United States these days, and how much of ""national security"" has been privatized into a global gangland of drugs and guns."	"▁But ▁then , ▁even ▁to ▁talk ▁of▁an ▁"" ad ministration "" ▁may▁be ▁mis d irect ion ▁at▁this▁point , ▁given ▁how ▁little ▁representative ▁government ▁means ▁in▁the ▁United▁States ▁these ▁days , ▁and ▁how▁much ▁of ▁"" n ational ▁security "" ▁has▁been ▁priv at ized ▁into▁a ▁global ▁gang land ▁of ▁drug s▁and ▁guns ."	"▁But▁then , ▁even ▁to▁talk ▁of▁an ▁"" ad ministration "" ▁may▁be ▁mis direct ion ▁at▁this▁point , ▁given ▁how ▁little ▁representative ▁government ▁means ▁in▁the ▁United▁States ▁these ▁days , ▁and ▁how▁much ▁of ▁"" national ▁security "" ▁has▁been ▁priv at ized ▁into▁a ▁global ▁gang land ▁of ▁drug s▁and ▁guns ."	"▁But▁then , ▁even ▁to▁talk ▁of▁an ▁"" ad ministration "" ▁may▁be▁mis direct ion ▁at▁this▁point , ▁given▁how ▁little ▁representative ▁government ▁means ▁in▁the ▁United▁States ▁these▁days , ▁and ▁how▁much ▁of ▁"" national ▁security "" ▁has▁been ▁privat ized ▁into▁a ▁global▁gang land ▁of ▁drug s▁and ▁guns ."
826	-able,-al,-en,-gon,-ish,-ont,-st,-ture,be-,bi-,contra-,inter-,un-	"Like the tens of billions of dollars that have been ""lost"" in Iraq, planeloads of arms don't just ""vanish""; not when the Pentagon contracts the work to an international criminal of Bout's untouchable stature."	"▁Like ▁the▁t en s▁of ▁bill ions▁of ▁dollar s▁that ▁have▁been ▁"" l ost "" ▁in▁Iraq , ▁plan el oad s▁of ▁arms ▁don ' t▁just ▁"" v anish "" ; ▁not ▁when▁the ▁Pentagon ▁contract s▁the ▁work ▁to▁an ▁international ▁criminal ▁of▁B out ' s ▁unt ouch able ▁st ature ."	"▁Like ▁the▁t en s▁of ▁billions▁of ▁dollar s▁that ▁have▁been ▁"" lost "" ▁in▁Iraq , ▁plan eload s▁of▁arms ▁don ' t▁just ▁"" v anish "" ; ▁not ▁when▁the ▁Pentagon ▁contract s▁the ▁work ▁to▁an ▁international ▁criminal ▁of▁B out ' s ▁unt ouch able ▁st ature ."	"▁Like ▁the▁t en s▁of ▁billions▁of ▁dollar s▁that▁have▁been ▁"" lost "" ▁in▁Iraq , ▁planeload s▁of▁arms▁don ' t▁just ▁"" v anish "" ; ▁not ▁when▁the ▁Pentagon ▁contract s▁the ▁work ▁to▁an ▁international ▁criminal ▁of▁B out ' s ▁unt ouch able ▁st ature ."
